date,mean,sd,bcparam1,bcparam2
1995-03-23,-0.986739249634858,0.210863387724074,-0.168568567596899,0
1995-03-24,0.47175965205736,0.190050655465805,0.079153393284194,0
1995-03-25,0,0,1,1
1995-03-26,0,0,1,1
1995-03-27,0,0,1,1
1995-03-28,1.16119144089934,0.840217419753751,0.0465609932966811,0
1995-03-29,-0.896086538906403,0.0285947102962225,0.984912213216451,0
1995-03-30,0,0,1,1
1995-03-31,0,0,1,1
1995-04-01,0,0,1,1
1995-04-02,0,0,1,1
1995-04-03,0,0,1,1
1995-04-04,0,0,1,1
1995-04-05,0,0,1,1
1995-04-06,0,0,1,1
1995-04-07,0,0,1,1
1995-04-08,1.15024894963369,0.112780866131183,0.567153473505337,0
1995-04-09,45.5204607410873,1.86911552527917,4.99994431585175,0
1995-04-10,-4.73691221338562,0.44343196986281,0.158430104463616,0
1995-04-11,-4.85350224117682,0.506052731562046,0.1444648565688,0
1995-04-12,0,0,1,1
1995-04-13,0,0,1,1
1995-04-14,0.199993513903427,5.02864860957792e-07,-4.99994431585175,0
1995-04-15,-1.26771585472626,0.0392844212627022,0.693955897637221,0
1995-04-16,0,0,1,1
1995-04-17,1.39794559046273,0.0839598642246491,-0.0347733234335848,0
1995-04-18,0,0,1,1
1995-04-19,0,0,1,1
1995-04-20,0,0,1,1
1995-04-21,0,0,1,1
1995-04-22,0,0,1,1
1995-04-23,0,0,1,1
1995-04-24,0,0,1,1
1995-04-25,0,0,1,1
1995-04-26,0,0,1,1
1995-04-27,3.86956893018479,0.389796620757125,1.23950158747631,0
1995-04-28,-1.2219309811184,0.00930715885229679,0.769998414512638,0
1995-04-29,-3.03864573286135,0.374076088396596,0.241672675759872,0
1995-04-30,0,0,1,1
1995-05-01,-4.85262630242983,1.02139556885675,0.0859403657719108,0
1995-05-02,0,0,1,1
1995-05-03,0,0,1,1
1995-05-04,0,0,1,1
1995-05-05,0,0,1,1
1995-05-06,0,0,1,1
1995-05-07,0,0,1,1
1995-05-08,0,0,1,1
1995-05-09,1728952.25662166,43301.6162584997,4.99994431585175,0
1995-05-10,78828.0712623214,4469.02332736794,4.99994431585175,0
