Date,Rain_mm,APET_mm,Tmin_C,Tmax_C,Rad_MJ,RH
1889-01-01,0,6.4647,14.5,29.5,28,0.5786
1889-01-02,0,6.3244,15,30,27,0.5263
1889-01-03,0,6.3517,15,30.5,27,0.517
1889-01-04,0,6.4283,15,29.5,28,0.5001
1889-01-05,0,6.3198,15,30.5,27,0.4825
1889-01-06,0,6.2881,15,30,27,0.4912
1889-01-07,0,6.2854,15,30,27,0.4912
1889-01-08,0,6.4193,14.5,29.5,28,0.5424
1889-01-09,0,6.4748,15,30,28,0.5263
1889-01-10,0,6.5014,15.5,30,28,0.52
1889-01-11,0,6.4979,15.5,30,28,0.52
1889-01-12,0,6.4643,15,30,28,0.5263
1889-01-13,0,6.319,15,30,27,0.5614
1889-01-14,0.2,6.2604,15,29.5,27,0.5358
1889-01-15,0,6.2563,15,29.5,27,0.5358
1889-01-16,0,6.2809,15,30,27,0.5263
1889-01-17,0,6.2764,15,30,27,0.5263
1889-01-18,0,6.3007,15,30.5,27,0.517
1889-01-19,0,6.3258,15.5,30.5,27,0.5108
1889-01-20,0,6.4864,15.5,30.5,28,0.5108
1889-01-21,0,6.4809,15.5,30.5,28,0.5108
1889-01-22,1.8,6.3098,15.5,30.5,27,0.5108
1889-01-23,0,6.275,15.5,30,27,0.52
1889-01-24,0,6.2099,15,30,27,0.4912
1889-01-25,0,6.2322,15,30.5,27,0.4825
1889-01-26,0,6.1961,14.5,30.5,27,0.4883
1889-01-27,0,6.2491,15,30.5,27,0.517
1889-01-28,0,6.2136,15,30,27,0.5263
1889-01-29,11,6.3242,16,31,27,0.4958
1889-01-30,0,6.3155,15.5,31,27,0.5352
1889-01-31,0,6.3093,16,31,27,0.4958
1889-02-01,0,6.1688,16,31.5,26,0.487
1889-02-02,0,6.1317,16,31,26,0.4958
1889-02-03,0,5.9923,16,31.5,25,0.487
1889-02-04,0,5.9471,16,30.5,25,0.5383
1889-02-05,0,5.8591,15.5,30,25,0.52
1889-02-06,0,6.0398,15.5,30.5,26,0.5108
1889-02-07,0,6.0309,15.5,30.5,26,0.5108
1889-02-08,0,5.8625,15.5,30.5,25,0.5108
1889-02-09,0,5.8536,15.5,30.5,25,0.5108
1889-02-10,0,5.9739,15.5,30.5,26,0.4768
1889-02-11,14.4,5.7772,15,30,25,0.5263
1889-02-12,3.9,5.8687,14.5,29.5,26,0.5424
1889-02-13,0,5.7046,15,29.5,25,0.5001
1889-02-14,0,5.6908,14.5,29.5,25,0.5424
1889-02-15,0,5.5039,15,29,24,0.5091
1889-02-16,0,5.4927,14.5,29.5,24,0.5062
1889-02-17,0,5.5098,14.5,30,24,0.4972
1889-02-18,0,5.5276,15,30,24,0.4912
1889-02-19,0,5.5172,15.5,29.5,24,0.494
1889-02-20,0,5.5565,15.5,30,24,0.52
1889-02-21,0,5.3922,15.5,30,23,0.52
1889-02-22,0,5.3809,15.5,30,23,0.52
1889-02-23,0,5.5719,16,30,24,0.5479
1889-02-24,0,5.4042,16,30,23,0.5479
1889-02-25,0,5.3634,15.5,30,23,0.5547
1889-02-26,0,5.3803,16,30,23,0.5479
1889-02-27,0,5.3679,16,30,23,0.5479
1889-02-28,0,5.3075,15.5,30,23,0.52
1889-03-01,0,5.2666,15.5,29.5,23,0.5293
1889-03-02,0,5.2524,15,30,23,0.5263
1889-03-03,0,5.2395,15.5,29.5,23,0.5293
1889-03-04,0,5.0793,15.5,29.5,22,0.5293
1889-03-05,0,5.2111,15.5,29.5,23,0.5293
1889-03-06,4.1,4.9965,15,29,22,0.5455
1889-03-07,0,4.9288,15,28,22,0.5653
1889-03-08,0,4.9138,14.5,28.5,22,0.5622
1889-03-09,0,4.6766,14,27.5,21,0.5901
1889-03-10,0,4.6478,13.5,28,21,0.5476
1889-03-11,0,4.6598,14,28,21,0.5409
1889-03-12,0,4.6183,13.5,28,21,0.5476
1889-03-13,0,4.6038,14,27.5,21,0.5507
1889-03-14,0,4.4648,14,27.5,20,0.5901
1889-03-15,0,4.4767,14.5,27.5,20,0.5827
1889-03-16,0,4.2986,14.5,27,19,0.5932
1889-03-17,0,4.42,14,27.5,20,0.5901
1889-03-18,0,4.1919,13.5,26.5,19,0.6194
1889-03-19,0,4.3374,13.5,27,20,0.6084
1889-03-20,0,4.2966,13.5,26.5,20,0.6194
1889-03-21,0,4.1379,13,27,19,0.575
1889-03-22,0,4.0973,13,26.5,19,0.5855
1889-03-23,0,4.0568,13,26,19,0.5962
1889-03-24,18.7,3.8896,12.5,26,18,0.6038
1889-03-25,1.6,4.0238,13,26,19,0.5962
1889-03-26,3.4,3.8834,13.5,25.5,18,0.5993
1889-03-27,0,3.8665,13,26,18,0.5962
1889-03-28,0.2,3.8016,12.5,25.5,18,0.6149
1889-03-29,0,3.7614,12.5,25,18,0.6261
1889-03-30,0.4,3.7446,12.5,25,18,0.6261
1889-03-31,0.2,3.7275,12.5,25,18,0.6261
1889-04-01,0,3.5917,12.5,25,17,0.6261
1889-04-02,0,3.4581,12.5,25,16,0.6261
1889-04-03,0,3.5117,12,24.5,17,0.6459
1889-04-04,1.7,3.4947,12,24.5,17,0.6459
1889-04-05,0.4,3.3633,12,24.5,16,0.6459
1889-04-06,0,3.3469,12,24.5,16,0.6459
1889-04-07,0,3.3536,12.5,24.5,16,0.6375
1889-04-08,0.1,3.2033,12.5,24,15,0.6491
1889-04-09,0,3.1252,13.5,24,14,0.6322
1889-04-10,0,3.1716,13,23.5,15,0.6522
1889-04-11,0,2.9798,12,23,14,0.6819
1889-04-12,0,3.0711,12,23,15,0.6819
1889-04-13,0,3.0323,11.5,23,15,0.691
1889-04-14,0,3.0157,11.5,23,15,0.691
1889-04-15,0.1,2.9988,11.5,23,15,0.691
1889-04-16,0.3,2.8797,11.5,23,14,0.691
1889-04-17,0.3,2.8637,11.5,23,14,0.691
1889-04-18,0,2.8475,11.5,23,14,0.691
1889-04-19,6.8,2.8099,11.5,22.5,14,0.7037
1889-04-20,4.6,2.7929,11,23,14,0.7002
1889-04-21,82,2.7763,11,23,14,0.7002
1889-04-22,3.2,2.7182,11,22,14,0.7262
1889-04-23,0,2.5865,10.5,22,13,0.736
1889-04-24,0,2.571,10.5,22,13,0.736
