#STN,MEAS_DATE,START_TIME,END_TIME,GAUGE_NO,M_GH,FLOW,QUALITY,AREA,VELOCITY
614062,18/08/1988,1452,0,1,10.173,0.033,43,0,0
614062,21/09/1988,1053,1053,2,10.172,0.0312,10,0,0
614062,29/09/1988,1101,1101,3,10.275,0.09322,10,0,0
614062,5/10/1988,1128,1128,4,10.194,0.04412,10,0,0
614062,4/11/1988,936,936,5,10.151,0.02242,10,0,0
614062,7/11/1988,955,955,6,10.188,0.03762,10,0,0
614062,17/11/1988,929,929,7,10.132,0.01635,10,0,0
614062,14/12/1988,1044,1044,8,10.102,0.00872,10,0,0
614062,24/02/1989,1249,1249,9,10.063,0.00233,10,0,0
614062,23/05/1989,1008,1133,10,10.204,0.03492,10,0,0
614062,24/07/1989,1041,1153,11,10.224,0.04992,10,0,0
614062,17/10/1989,932,932,12,10.404,0.26075,10,0,0
614062,18/10/1989,1106,1106,13,10.333,0.15382,10,0,0
614062,6/12/1989,1450,1450,14,10.115,0.00883,10,0,0
614062,18/06/1991,1059,1059,15,10.161,0.02244,10,0,0
614062,17/07/1991,1010,1010,16,10.24,0.07032,10,0,0
614062,30/06/1992,1100,1245,17,10.276,0.0955,42,0.322,0.297
614062,12/10/1992,1403,1507,18,10.163,0.0264,42,0,0
614062,2/06/1994,1403,1515,19,10.152,0.0233,43,0.235,0.099
614062,13/07/1994,1113,1252,20,10.275,0.0958,43,0.4385,0.218
614062,13/10/1994,1045,1125,21,10.12,0.01297,42,0.1081,0.11
614062,19/10/1995,1150,1258,22,10.154,0.02471,41,0.1461,0
614062,7/11/1996,1200,1320,23,10.132,0.016324,42,0.1191,0.16
614062,4/02/1997,1404,1426,24,10.056,0.001616,42,0,0
614062,13/10/1998,1300,1324,25,10.16,0.02684,44,0.1332,0.201
614062,11/01/1999,1106,0,26,10.062,0.002333,44,0,0
614062,25/08/1999,1415,1451,27,10.191,0.0448,43,0.165,0.271
614062,9/03/2001,1313,1313,28,10.043,0.00095,41,0,0
614062,10/08/2001,1400,1400,29,10.107,0.0084,41,0,0
614062,28/06/2005,1344,1416,30,10.118,0.01048,42,0,0
614062,6/07/2006,1153,1215,31,10.063,0.00239,43,0,0
614062,18/10/2006,1025,1041,32,10.084,0.00489,43,0,0
614062,18/10/2006,1041,1107,33,10.083,0.004709,43,0,0
614062,29/05/2007,1130,1135,34,10.073,0.00372,41,0,0
614062,3/07/2007,1140,1210,35,10.133,0.0139,43,0.1498,0.093
614062,17/09/2007,1324,1442,36,10.145,0.022,42,0.1415,0.156
614062,10/06/2009,1202,1207,37,10.055,0.001617,41,0,0
614062,6/09/2012,1127,1137,38,10.125,0.0125,42,0,0
614062,9/08/2013,1329,1435,39,10.139,0.0168,42,0.2208,0.076
614062,3/10/2013,1126,1238,40,10.117,0.0108,42,0.2468,0.044
614062,13/07/2016,1230,1240,41,10.052,0.0013,42,0,0
614062,13/07/2016,1305,1328,42,10.051,0.0023,43,0.0447,0.051
614062,10/08/2016,1523,1547,43,10.085,0.0061,43,0.0569,0.107
614062,29/08/2016,1345,1436,44,10.118,0.0134,43,0.1125,0.119
614062,13/10/2016,939,1004,45,10.082,0.00452,43,0.0717,0.063
614062,10/11/2016,1256,1324,46,10.041,0.0017,44,0.0523,0.033
614062,10/11/2016,1340,1400,47,10.041,0.00073,42,0,0
614062,9/08/2017,1313,1508,48,10.22,0.0579,42,0.2012,0.288
